Status,Progress,Finished,ExternalReference,DistributionChannel,UserLanguage,Q1,Q2,Q13,Q3,Q4,Q5,Q6,Q6_6_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q8_3,Q9_1,Q9_2,Q9_3,Q10_1,Q10_2,Q10_3
0,100,1,,anonymous,FR,3.0,2.0,1.0,1.0,5.0,1,"2,5",,4.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0
0,100,1,,anonymous,FR,3.0,2.0,1.0,1.0,7.0,"1,2","1,2,4,5",,4.0,4.0,4.0,5.0,1.0,3.0,3.0,2.0,4.0,5.0,,3.0,4.0
0,100,1,,anonymous,FR,3.0,1.0,1.0,2.0,5.0,1,"1,4",,3.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0
0,100,1,,anonymous,FR,4.0,2.0,1.0,2.0,4.0,1,"1,2",,4.0,3.0,4.0,5.0,4.0,5.0,5.0,,3.0,4.0,,,4.0
0,100,1,,anonymous,FR,3.0,2.0,1.0,1.0,7.0,1,"1,2,4",,4.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,1.0,4.0,,3.0,4.0
0,100,1,,anonymous,FR,4.0,2.0,1.0,2.0,5.0,1,"1,6",Création de flyer,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,,1.0,3.0
0,100,1,,anonymous,FR,3.0,1.0,1.0,1.0,5.0,"1,2","1,4,5",,4.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0
0,100,1,,anonymous,FR,5.0,2.0,1.0,2.0,2.0,2,4,,5.0,5.0,5.0,5.0,3.0,3.0,3.0,,1.0,3.0,,3.0,4.0
0,100,1,,anonymous,FR,5.0,2.0,1.0,2.0,3.0,1,4,,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,4.0,4.0,,1.0,3.0
0,100,1,,anonymous,FR,4.0,2.0,1.0,2.0,4.0,1,"1,4",,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,,1.0,4.0
0,100,1,,anonymous,FR,3.0,1.0,1.0,1.0,6.0,"1,2","1,2,3,4,5",,4.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,3.0,5.0,5.0,3.0,4.0
0,100,1,,anonymous,FR,6.0,2.0,1.0,2.0,2.0,1,4,,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,,1.0,3.0
0,100,1,,anonymous,FR,4.0,2.0,1.0,2.0,4.0,1,"1,4",,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,,1.0,4.0
0,100,1,,anonymous,FR,2.0,2.0,1.0,1.0,5.0,"1,2","1,2,3",,5.0,4.0,4.0,5.0,1.0,,3.0,4.0,3.0,4.0,,1.0,1.0
0,100,1,,anonymous,FR,2.0,2.0,1.0,1.0,5.0,"1,2","1,2,3,4,6",Création d'images,5.0,3.0,4.0,5.0,1.0,,3.0,4.0,5.0,5.0,,1.0,3.0
0,100,1,,anonymous,FR,1.0,2.0,1.0,1.0,4.0,"1,2","1,4,6",Images ,5.0,5.0,5.0,5.0,1.0,,3.0,3.0,3.0,3.0,,1.0,3.0
0,100,1,,anonymous,FR,3.0,2.0,1.0,1.0,6.0,"1,2","1,2,4,5,6",Conseils pour la musculation,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,3.0
0,100,1,,anonymous,FR,3.0,2.0,1.0,1.0,6.0,1,"1,2,4,5",,4.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0
0,100,1,,anonymous,FR,3.0,2.0,1.0,1.0,6.0,1,"1,4,5",,4.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0
